var alpha, br prodding
[ 7800 , 1.5690383889734618 
[ 7900 , 1.5491796572933396 
[ 8000 , 1.5298173318547759 
[ 8100 , 1.510933029510928 
[ 8200 , 1.4932967713175038 
[ 8300 , 1.4956605173765847 
[ 8400 , 1.507706052030559 
[ 8500 , 1.5220188362592526 
[ 8600 , 1.5385978952117911 
[ 8700 , 1.555393690052493 
[ 8800 , 1.571807805606198 
[ 8900 , 1.590757500259858 
[ 9000 , 1.6148718493055232 
[ 9100 , 1.635832974691962 
[ 9200 , 1.6539305137390894 
[ 9300 , 1.6695214988225902 
[ 9400 , 1.6828975326174747 
[ 9500 , 1.694280876690773 
[ 9600 , 1.7039367098112148 
[ 9700 , 1.7119644458641905 
[ 9800 , 1.718598916906911 
[ 9900 , 1.7304797999559955 


1001A W MADISON STREET MONDAY 1PM
variable alpha w/o br prodding

[ 0    , 2.0927243616274342 
[ 100  , 1.8882491566260504 
[ 200  , 1.976400323010414 
[ 300  , 2.2204876609745323 
[ 400  , 2.4143307080668235 
[ 500  , 2.2468319658304585 
[ 600  , 2.178084328711803 
[ 700  , 2.116589568030844 
[ 800  , 2.132938254425686 
[ 900  , 2.136578484440493 
[ 1000 , 2.0389437968981263 
[ 1100 , 1.9445801460323566 
[ 1200 , 1.865930675148879 
[ 1300 , 1.799371822378852 
[ 1400 , 1.7423145902692714 
[ 1500 , 1.6928599207279382 
[ 1600 , 1.6505215211683917 
[ 1700 , 1.6601579909007431 
[ 1800 , 1.6915605735794133 
[ 1900 , 1.723737640013755 
[ 2000 , 1.7562766450190295 
[ 2100 , 1.7889815126661264 
[ 2200 , 1.8218466434911529 
[ 2300 , 1.8550179903754205 
[ 2400 , 1.8888711314208244 
[ 2500 , 1.9241239449095655 
[ 2600 , 1.962225637333133 
[ 2700 , 2.00064685269698 
[ 2800 , 2.0363252941842287 
[ 2900 , 2.0695440017002578 
[ 3000 , 2.100548866664459 
[ 3100 , 2.129554062815964 
[ 3200 , 2.1375366126219717 
[ 3300 , 2.0942502081411973 
[ 3400 , 2.032672724755405 
[ 3500 , 1.9717258584322597 
[ 3600 , 1.9093656201768077 
[ 3700 , 1.8460216739348265 
[ 3800 , 1.7821364668972808 
[ 3900 , 1.7207505353915091 
[ 4000 , 1.7569621975880956 
[ 4100 , 1.7839077483429775 
[ 4200 , 1.793840921116843 
[ 4300 , 1.7909078086679084 
[ 4400 , 1.7765161258825721 
[ 4500 , 1.759264045778886 
[ 4600 , 1.7427618930863995 
[ 4700 , 1.7269618102804911 
[ 4800 , 1.711819927132904 
[ 4900 , 1.697295953927783 
[ 5000 , 1.6833528234820347 
[ 5100 , 1.6699563752726783 
[ 5200 , 1.6570750760040314 
[ 5300 , 1.6533757208158524 
[ 5400 , 1.6597935004798092 
[ 5500 , 1.6659779487613842 
[ 5600 , 1.6719415633243513 
[ 5700 , 1.6776959649572867 
[ 5800 , 1.6832519731532236 
[ 5900 , 1.6886196740045483 
[ 6000 , 1.6938084813095367 
[ 6100 , 1.6988271916693958 
[ 6200 , 1.7036840342541952 
[ 6300 , 1.7083867158299353 
[ 6400 , 1.712942461564992 
[ 6500 , 1.7176877033361704 
[ 6600 , 1.7232154449716601 
[ 6700 , 1.7293315771614992 
[ 6800 , 1.7359709394402467 
[ 6900 , 1.7430315395371725 
[ 7000 , 1.750418068224638 
[ 7100 , 1.7580891490358432 
[ 7200 , 1.765994837569747 
[ 7300 , 1.7741014118433087 
[ 7400 , 1.782378442180606 
[ 7500 , 1.7908078871766313 
[ 7600 , 1.7993761656343081 
[ 7700 , 1.808063311588997 
[ 7800 , 1.8168614686863283 
[ 7900 , 1.8257744067284472 
[ 8000 , 1.834793161001686 
[ 8100 , 1.8439379052231961 
[ 8200 , 1.853186374330325 
[ 8300 , 1.8625538421236185 
[ 8400 , 1.8720588443438442 
[ 8500 , 1.8816900978888504 
[ 8600 , 1.8915197590829531 
[ 8700 , 1.901522089580489 
[ 8800 , 1.9117521364922596 
[ 8900 , 1.922249220489303 
[ 9000 , 1.9330947371470404 
[ 9100 , 1.944340957111351 
[ 9200 , 1.9557697246694747 
[ 9300 , 1.9669967999881592 
[ 9400 , 1.9779850267732981 
[ 9500 , 1.9887419468162884 
[ 9600 , 1.99927478769995 
